comentario,comentario_procesado,intencion,confianza_intencion,departamento,metodo_departamento
"Buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos
Quedó atento a su respuesta
Saludos ",buen día me gustaría saber dónde puedo comunicarme con ustedes para poder postularme en ser catedrático soy experto en el área de análisis y vizualizadores de datos por más de 5 años dentro del mundo corporativo en las más importantes empresas de retrail como dando cursos nacional como internacional y busco mucho seguir compartiendo mi conocimientos quedó atento a su respuesta saludos,sugerencia,0.4917634444800921,Subdirección Académica,setfit
Pongan internet a las demás computadoras ,pongan internet a las demás computadoras,sugerencia,0.5705930627624755,Unidad de Informática,keywords
Ojalá todas tuvieran internet y no tuviéramos que esperar hasta que se desocupen ,ojalá todas tuvieran internet y no tuviéramos que esperar hasta que se desocupen,sugerencia,0.48807763906438617,Unidad de Informática,keywords
Que en el futuro en lo más posible pueda aumentar el número de computadoras con conexión de Internet. ,que en el futuro en lo más posible pueda aumentar el número de computadoras con conexión de internet,sugerencia,0.5971325819096502,Unidad de Informática,keywords
En la mayoría de computadoras no hay Internet ,en la mayoría de computadoras no hay internet,queja,0.6636854013003369,Unidad de Informática,keywords
"Le hace falta internet a las compus, así como alguno que otro programa necesario ",le hace falta internet a las compus así como alguno que otro programa necesario,sugerencia,0.6179811311760521,Unidad de Informática,keywords
No todas las máquinas tienen internet ,no todas las máquinas tienen internet,queja,0.4647592237265488,Unidad de Informática,keywords
Nº había Internet en las maquinas ,nº había internet en las maquinas,sugerencia,0.5096561531266948,Unidad de Informática,keywords
Pongan internet a las ptras máquinas,pongan internet a las ptras máquinas,sugerencia,0.6405949333718697,Unidad de Informática,keywords
Dan un buen servicio ,dan un buen servicio,felicitación,0.6803646146441553,Recursos Financieros,setfit
No hay internet ,no hay internet,queja,0.6179876867119475,Unidad de Informática,keywords
No tenían internet ,no tenían internet,sugerencia,0.5869887130532666,Unidad de Informática,keywords
No hay internet ,no hay internet,queja,0.6179876867119475,Unidad de Informática,keywords
La atención fue buena,la atención fue buena,queja,0.4190644099241556,Evaluación y Seguimiento Académico,setfit
No hay internet en todas las máquinas ,no hay internet en todas las máquinas,queja,0.4257037934294739,Unidad de Informática,keywords
El internet en las computadoras.,el internet en las computadoras,sugerencia,0.515263704175583,Unidad de Informática,keywords
Falta internet en las compus ,falta internet en las compus,sugerencia,0.7031378435660696,Unidad de Informática,keywords
Algunas computadoras no tienen internet o no prenden ,algunas computadoras no tienen internet o no prenden,sugerencia,0.5182832722806402,Unidad de Informática,keywords
Felicitacion. Muy limpio,felicitacion muy limpio,felicitación,0.6654211373182805,Coordinación de Enlace y Gestión Técnica,setfit
Use una computadora con internet,use una computadora con internet,queja,0.37087329777217715,Unidad de Informática,keywords
Ninguna queja en absoluto. Todo fue fluido.,ninguna queja en absoluto todo fue fluido,felicitación,0.554943222214023,Coordinación de Enlace y Gestión Técnica,setfit
Ya es cansado hacer todo esto,ya es cansado hacer todo esto,queja,0.4778956936452942,Gestión Escolar,setfit
Mejor gestión en los cables de internet y su repartición ,mejor gestión en los cables de internet y su repartición,sugerencia,0.6143117295911851,Unidad de Informática,keywords
Mejor gestión de internet ya que algunos equipos no cuentan con el mismo,mejor gestión de internet ya que algunos equipos no cuentan con el mismo,queja,0.3700546625626841,Unidad de Informática,keywords
no había internet ,no había internet,queja,0.5139926565798507,Unidad de Informática,keywords
Muy buena compu 👌 ,muy buena compu,felicitación,0.7415961273033688,Innovación Educativa,setfit
Deberían de conectar todas las computadoras a internet ,deberían de conectar todas las computadoras a internet,felicitación,0.4524582825574212,Unidad de Informática,keywords
Mas internet en las compus,mas internet en las compus,sugerencia,0.6903018170407039,Unidad de Informática,keywords
Mala internet nefasto ,mala internet nefasto,queja,0.5044632633421765,Unidad de Informática,keywords
"Felicidades, al final arreglaron las compis sin internet ",felicidades al final arreglaron las compis sin internet,felicitación,0.4405692882734596,Unidad de Informática,keywords
No tenía Internet la computadora ,no tenía internet la computadora,queja,0.4940685571667778,Unidad de Informática,keywords
Las computadoras no tenían internet pero no fue buen servicio ,las computadoras no tenían internet pero no fue buen servicio,sugerencia,0.5081112122116944,Unidad de Informática,keywords
El internet es un poco malo ,el internet es un poco malo,felicitación,0.5081452140584548,Unidad de Informática,keywords
Fijarse en el internet y la distribución de cables ethernet ,fijarse en el internet y la distribución de cables ethernet,sugerencia,0.6402634683067577,Unidad de Informática,keywords
No hay internet en algunas máquinas ,no hay internet en algunas máquinas,sugerencia,0.5910821910708265,Unidad de Informática,keywords
Me gustó los equipos ,me gustó los equipos,felicitación,0.41998482486193994,Actividades Culturales y/o Deportivas,setfit
El chico siempre pide llenar la encuesta y me quita tiempo.,el chico siempre pide llenar la encuesta y me quita tiempo,queja,0.49134622234940395,Evaluación y Seguimiento Académico,setfit
"Ninguna, todo bien ",ninguna todo bien,felicitación,0.7380031726702423,Innovación Educativa,setfit
La persona que estaba en ventanilla el dia 3 de septiembre a las 1:20 contesto de manera prepotente y despota sobre la información de un tramite,la persona que estaba en ventanilla el dia 3 de septiembre a las 120 contesto de manera prepotente y despota sobre la información de un tramite,queja,0.3952504054205998,Extensión y Apoyos Educativos,setfit
Las computadoras no tienen internet y se tarda en buscar una con internet ,las computadoras no tienen internet y se tarda en buscar una con internet,queja,0.5555078716480223,Unidad de Informática,keywords
No había internet en las máquinas.,no había internet en las máquinas,sugerencia,0.5274166261472781,Unidad de Informática,keywords
Son muy amables y atentos ,son muy amables y atentos,felicitación,0.5233516651532217,Evaluación y Seguimiento Académico,setfit
Tener cables de red ethernet disponibles para laptops,tener cables de red ethernet disponibles para laptops,sugerencia,0.5745976114656581,Unidad de Informática,keywords
De momento nada,de momento nada,felicitación,0.4712311739045631,Gestión Escolar,setfit
NO HABÍA INTERNET ,no había internet,queja,0.5139926565798507,Unidad de Informática,keywords
no había internet en las computadoras ,no había internet en las computadoras,sugerencia,0.4415906973276874,Unidad de Informática,keywords
"Me explicaron que al pedir el auditorio de ESCOM, se tenía que pedir grupo a la subdirección académica. Siempre dicen que andan ocupados y cuando dices que no hay problema, que esperas, te miran mal. Ya cuando ven que te esperas te ven con una cara de asco y ya te hacen pasar y te atienden de mala gana. Te hablan altaneramente y te ningunean. Ni siquiera dejan explicar bien la situación porque te están regañando como si fuera tu culpa ir allí. Encima denigran tu espacio en el auditorio como si lo que fueras hacer no vale nada como incitándote a cancelarla.",me explicaron que al pedir el auditorio de escom se tenía que pedir grupo a la subdirección académica siempre dicen que andan ocupados y cuando dices que no hay problema que esperas te miran mal ya cuando ven que te esperas te ven con una cara de asco y ya te hacen pasar y te atienden de mala gana te hablan altaneramente y te ningunean ni siquiera dejan explicar bien la situación porque te están regañando como si fuera tu culpa ir allí encima denigran tu espacio en el auditorio como si lo que fueras hacer no vale nada como incitándote a cancelarla,queja,0.696094088370617,Subdirección Académica,setfit
Internet no funciona ,internet no funciona,sugerencia,0.5296178637595899,Unidad de Informática,keywords
No tiene internet ,no tiene internet,queja,0.5577246324586824,Unidad de Informática,keywords
No hay internet en algunas máquinas ,no hay internet en algunas máquinas,sugerencia,0.5910821910708265,Unidad de Informática,keywords
Las máquinas están algo lentas ,las máquinas están algo lentas,sugerencia,0.483278314106335,Unidad de Informática,setfit
El equipo funciono bien,el equipo funciono bien,felicitación,0.6819883375112793,Actividades Culturales y/o Deportivas,setfit
Me solicitaron llenar el formulario,me solicitaron llenar el formulario,sugerencia,0.36774346198711916,Innovación Educativa,setfit
"Buen equipo de cómputo, buena atención académica ",buen equipo de cómputo buena atención académica,felicitación,0.600426841600962,Evaluación y Seguimiento Académico,setfit
Muy bien equipo ,muy bien equipo,felicitación,0.7227376047345607,Actividades Culturales y/o Deportivas,setfit
Sugiero poder conectar el Ethernet a nuestro equipo para poder hacer uso del internet y del monitor,sugiero poder conectar el ethernet a nuestro equipo para poder hacer uso del internet y del monitor,sugerencia,0.3780985500565265,Unidad de Informática,keywords
"Las máquinas no se pueden usar para hacer tareas en horas libres, no dejan programas ni tienen ningún programa o IDE para poder hacer prácticas ",las máquinas no se pueden usar para hacer tareas en horas libres no dejan programas ni tienen ningún programa o ide para poder hacer prácticas,queja,0.660184654793942,Unidad de Informática,setfit
Muy buen servicio ,muy buen servicio,felicitación,0.7899882319447568,Gestión Escolar,setfit
"Acudí a ventanilla de servicios escolares a resolver una duda acerca de mi proceso de reinscripción. Sin embargo, la persona que me atendió se encontraba revisando su celular, mientras me atendía de malas seguía utilizando su celular.
No considero apropiada esta conducta, pues ni siquiera parecía interesarle lo que le comentaba. ",acudí a ventanilla de servicios escolares a resolver una duda acerca de mi proceso de reinscripción sin embargo la persona que me atendió se encontraba revisando su celular mientras me atendía de malas seguía utilizando su celular no considero apropiada esta conducta pues ni siquiera parecía interesarle lo que le comentaba,queja,0.6410673627687692,Gestión Escolar,keywords
muy buena la máquina pero un poco lentos los teclados ya que se les atoraban las teclas ,muy buena la máquina pero un poco lentos los teclados ya que se les atoraban las teclas,felicitación,0.4961553251283015,Unidad de Informática,setfit
"todo bien, mejorar velocidad de internet ",todo bien mejorar velocidad de internet,felicitación,0.5741331425442964,Unidad de Informática,keywords
Gracias por prestar el servicio,gracias por prestar el servicio,felicitación,0.5862169908139657,Gestión Escolar,setfit
Simplemente necesitaba una respuesta que no duraría ni 5 minutos y obviamente si hay un horario pero no costaba nada y si se hace un trámite obviamente es en horario,simplemente necesitaba una respuesta que no duraría ni 5 minutos y obviamente si hay un horario pero no costaba nada y si se hace un trámite obviamente es en horario,queja,0.626561833908611,Subdirección Académica,keywords
Todo bien por el momento ,todo bien por el momento,felicitación,0.7545484902616283,Gestión Escolar,setfit
"Buen servicio, 10/10",buen servicio 1010,felicitación,0.7173543989041685,Unidad de Informática,setfit
El internet intermitente no me permitió hacer mi trabajo,el internet intermitente no me permitió hacer mi trabajo,queja,0.3851021934298182,Unidad de Informática,keywords
Felicitación por la gestión de los equipos. El semestre pasado se encontraban descuidado y con máximo privilegios. Hoy ya se encuentran en mejor estado y cosas como la deshabilitación de CMD se felicita.,felicitación por la gestión de los equipos el semestre pasado se encontraban descuidado y con máximo privilegios hoy ya se encuentran en mejor estado y cosas como la deshabilitación de cmd se felicita,felicitación,0.4754681588715911,Actividades Culturales y/o Deportivas,setfit
Se necesita mejorar el internet ,se necesita mejorar el internet,sugerencia,0.48344176376968023,Unidad de Informática,keywords
muy bien servicio ,muy bien servicio,felicitación,0.7194709840119616,Innovación Educativa,setfit
"Ninguna queja, buena atención y el equipo en un inicio mostraba complicaciones con Word pero después funcionó correctamente ",ninguna queja buena atención y el equipo en un inicio mostraba complicaciones con word pero después funcionó correctamente,felicitación,0.6446586046208271,Actividades Culturales y/o Deportivas,setfit
Facilidad de uso,facilidad de uso,felicitación,0.5444138901700106,Innovación Educativa,setfit
El mousse de la máquina 2 presenta problemas en el click izquierdo,el mousse de la máquina 2 presenta problemas en el click izquierdo,sugerencia,0.5854168495679899,Unidad de Informática,setfit
"Hoy, 7 de marzo, pusieron un aviso de que la biblioteca estaría cerrada de 2pm a 4pm. Ya son las 4:15 y aún no han abierto. Quiero revisar un asunto de urgencia del SAES. ",hoy 7 de marzo pusieron un aviso de que la biblioteca estaría cerrada de 2pm a 4pm ya son las 415 y aún no han abierto quiero revisar un asunto de urgencia del saes,queja,0.556994083701215,Recursos Materiales y Servicios Generales,setfit
La máquina dos le falla el click izquierdo al mouse lo cual complica un poco su uso,la máquina dos le falla el click izquierdo al mouse lo cual complica un poco su uso,sugerencia,0.45367548390169865,Unidad de Informática,setfit
"No tiene internet, posiblemente el cable esté trozado ya que cambie el de la 31 a la 32 y agarro el internet ",no tiene internet posiblemente el cable esté trozado ya que cambie el de la 31 a la 32 y agarro el internet,queja,0.5239069108897211,Unidad de Informática,keywords
Estaría bien poner Linux y Windows en todas las compus,estaría bien poner linux y windows en todas las compus,sugerencia,0.5063706696246165,Unidad de Informática,setfit
"El servicio se llevo correctamente
Como unico problema mencionaria que las aplicaciones de adobe e internet explorer se quedaron congeladas y fui capaz de cerrarlas Al estar bloqueado El administrador de tareas",el servicio se llevo correctamente como unico problema mencionaria que las aplicaciones de adobe e internet explorer se quedaron congeladas y fui capaz de cerrarlas al estar bloqueado el administrador de tareas,queja,0.47412063896383927,Unidad de Informática,keywords
Felicitación por el uso del equipo ,felicitación por el uso del equipo,felicitación,0.703501512018086,Actividades Culturales y/o Deportivas,setfit
Buenos equipos de cómputo ,buenos equipos de cómputo,felicitación,0.5080814592162465,Actividades Culturales y/o Deportivas,setfit
Todo muy bien,todo muy bien,felicitación,0.6964276169062765,Coordinación de Enlace y Gestión Técnica,setfit
"Muy bien equipo, internet y cuenta con los programas que necesito",muy bien equipo internet y cuenta con los programas que necesito,felicitación,0.6002270153015838,Unidad de Informática,keywords
No tienen Ubuntu.,no tienen ubuntu,sugerencia,0.5173495667745179,Unidad de Informática,setfit
Muy buen servicio ,muy buen servicio,felicitación,0.7899882319447568,Gestión Escolar,setfit
Felicitación por mantener los equipos en buen estado,felicitación por mantener los equipos en buen estado,felicitación,0.7002160554724053,Actividades Culturales y/o Deportivas,setfit
"Me gustó, las computadoras están bien, los periféricos pero el Mouse a veces falla de la ruedita ",me gustó las computadoras están bien los periféricos pero el mouse a veces falla de la ruedita,sugerencia,0.5107134356817139,Unidad de Informática,setfit
El servicio estuvo bien,el servicio estuvo bien,felicitación,0.6385943190661946,Innovación Educativa,setfit
Ha mejorado el rendimiento de más computadoras,ha mejorado el rendimiento de más computadoras,sugerencia,0.43459964867318973,Unidad de Informática,setfit
"El trámite fue sencillo, me atendieron con una buena actitud y muy comprensivos y directos, totalmente satisfecho por la ayuda otorgada ya que me han ayudado a otorgar soluciones de acuerdo a mi situación.",el trámite fue sencillo me atendieron con una buena actitud y muy comprensivos y directos totalmente satisfecho por la ayuda otorgada ya que me han ayudado a otorgar soluciones de acuerdo a mi situación,felicitación,0.4771531942264814,Extensión y Apoyos Educativos,setfit
Muy buen servicio,muy buen servicio,felicitación,0.7899882319447568,Gestión Escolar,setfit
"La mayoría de los horarios y días sobre las actividades deportivas están mal 
",la mayoría de los horarios y días sobre las actividades deportivas están mal,queja,0.5878388422284526,Actividades Culturales y/o Deportivas,setfit
Buenas maquinas y conexion a internet ,buenas maquinas y conexion a internet,felicitación,0.46228478420163993,Unidad de Informática,keywords
Se me atendió de la mejor manera ,se me atendió de la mejor manera,felicitación,0.3687644784029435,Innovación Educativa,setfit
Agregar más programas ,agregar más programas,sugerencia,0.5522767233059913,Tecnología Educativa y Campus Virtual,setfit
"Felicitacion, atienden bien ",felicitacion atienden bien,felicitación,0.6748310106141467,Extensión y Apoyos Educativos,setfit
Muy buena atención ,muy buena atención,felicitación,0.7155035840829116,Gestión Escolar,setfit
"QUIERO FELICITAR A YADHIRA DE GESTION ESCOLAT AUE EL DIA DE HOY ME ATENDIO EN LA VENTANILLA Y FUE MUY AMABLE Y ATENTA, ME SOLUCIONO MI SOLICITUD CON UNA EXCELENTE ACTITUD. ENHORABUENA, DESEO QUE LOS DEMAS ADMINISTRATIVOS ME ATENDIESEN COMO ELLA LO HIZO",quiero felicitar a yadhira de gestion escolat aue el dia de hoy me atendio en la ventanilla y fue muy amable y atenta me soluciono mi solicitud con una excelente actitud enhorabuena deseo que los demas administrativos me atendiesen como ella lo hizo,felicitación,0.416293499478632,Dirección,setfit
"Mucha paciencia y atención increíble por su parte, quedó muy agradecido con el Maestro Efrén!",mucha paciencia y atención increíble por su parte quedó muy agradecido con el maestro efrén,felicitación,0.5536900242462613,Subdirección Académica,keywords
Muy buen trato ,muy buen trato,felicitación,0.7169717711783863,Recursos Financieros,setfit
"Ninguna, muchas gracias ",ninguna muchas gracias,felicitación,0.5060046282151854,Coordinación de Enlace y Gestión Técnica,setfit
Mosso es bastante atento,mosso es bastante atento,felicitación,0.5205447629820145,Innovación Educativa,setfit
Todo muy bien ,todo muy bien,felicitación,0.6964276169062765,Coordinación de Enlace y Gestión Técnica,setfit
Me gustaría felicitarlos por ese gran chango,me gustaría felicitarlos por ese gran chango,felicitación,0.5521058544946418,Recursos Financieros,setfit
Felicitación por la facilitación del proceso y eficiencia,felicitación por la facilitación del proceso y eficiencia,felicitación,0.5921461306898377,Unidad Politécnica de Integración Social,setfit
Servicio rápido y atento,servicio rápido y atento,felicitación,0.6154311510174459,Unidad de Informática,setfit
Se deben incorporar más materias a las clases virtuales,se deben incorporar más materias a las clases virtuales,sugerencia,0.47960180263307417,Tecnología Educativa y Campus Virtual,setfit
Felicitacion buena información ,felicitacion buena información,felicitación,0.621133897643329,Coordinación de Enlace y Gestión Técnica,setfit
Muy buen trabajo,muy buen trabajo,felicitación,0.7237077198440314,Gestión Escolar,setfit
Poner cortinas en otros salones,poner cortinas en otros salones,sugerencia,0.5027265702642586,Recursos Materiales y Servicios Generales,setfit
El cambio de salones que hicieron está horrible ,el cambio de salones que hicieron está horrible,sugerencia,0.5971822787179436,Recursos Materiales y Servicios Generales,setfit
Pienso que está muy bien el diseño de programas,pienso que está muy bien el diseño de programas,felicitación,0.5450060728100994,Tecnología Educativa y Campus Virtual,setfit
Buena actividad para integrar al grupo y los equipos.,buena actividad para integrar al grupo y los equipos,felicitación,0.4452825278082774,Actividades Culturales y/o Deportivas,setfit
Simplemente una felicitación ,simplemente una felicitación,felicitación,0.5704559335776838,Dirección,setfit
La distribución de salones de este semestre es confusa,la distribución de salones de este semestre es confusa,sugerencia,0.6351763261491586,Recursos Materiales y Servicios Generales,setfit
Que no sea al aire libre,que no sea al aire libre,sugerencia,0.5423475395088634,Recursos Materiales y Servicios Generales,setfit
Buena opción la de juntar a las carreras pasa que se puede convivir con todos ,buena opción la de juntar a las carreras pasa que se puede convivir con todos,sugerencia,0.472000249011336,Actividades Culturales y/o Deportivas,setfit
"Muy mal cambio, innecesario andar buscando salones en otros edificios y moviéndose de pisos ",muy mal cambio innecesario andar buscando salones en otros edificios y moviéndose de pisos,queja,0.39262071319611197,Recursos Materiales y Servicios Generales,setfit
"Me gustó la actividad, pero no me gustó que los grupos de otras carreras estén combinados ",me gustó la actividad pero no me gustó que los grupos de otras carreras estén combinados,sugerencia,0.5535986598582213,Actividades Culturales y/o Deportivas,setfit
Muy buena actividad integradora me gustó la dinámica ,muy buena actividad integradora me gustó la dinámica,felicitación,0.4913154384067269,Unidad Politécnica de Integración Social,setfit
Estuvo padre la actividad ,estuvo padre la actividad,felicitación,0.39768746185663584,Innovación Educativa,setfit
"Felicidades por una actividad movida, me obligo a hablar con alguien",felicidades por una actividad movida me obligo a hablar con alguien,felicitación,0.6146538051575067,Innovación Educativa,setfit
Las instalaciones están muy bien cuidadas,las instalaciones están muy bien cuidadas,felicitación,0.5638204870200235,Subdirección Administrativa,keywords
"El proceso fue llevado a cabo de manera práctica y eficiente. La descripción del taller por parte de la profesora Elsa fue muy clara, en general ya hecho un excelente trabajo desde que se le asignó la jefatura de formación básica ",el proceso fue llevado a cabo de manera práctica y eficiente la descripción del taller por parte de la profesora elsa fue muy clara en general ya hecho un excelente trabajo desde que se le asignó la jefatura de formación básica,queja,0.3952746432536105,Innovación Educativa,setfit
Hay algunos contactos de luz en el edificio de IA que no sirven o que tienen falso contacto ,hay algunos contactos de luz en el edificio de ia que no sirven o que tienen falso contacto,sugerencia,0.6168129483868322,Subdirección Administrativa,keywords
Muy buena la administración ,muy buena la administración,felicitación,0.5601724399539527,Dirección,setfit
Mejorar los servicios de internet sobre todo en los salones de abajo ,mejorar los servicios de internet sobre todo en los salones de abajo,sugerencia,0.6055497200081649,Unidad de Informática,keywords
Pongan más cupos para los regulares,pongan más cupos para los regulares,sugerencia,0.47092824508651465,Gestión Escolar,setfit
Errores masivos para inscripción ,errores masivos para inscripción,queja,0.44112338484532765,Gestión Escolar,keywords
Consultoria mejor guiada a los estudiantes para ser participe en las elecciones escolares ,consultoria mejor guiada a los estudiantes para ser participe en las elecciones escolares,sugerencia,0.5250924505550161,Evaluación y Seguimiento Académico,setfit
Una felicitación a la profesora por incentivar el uso de las herramientas que proporciona la institución. ,una felicitación a la profesora por incentivar el uso de las herramientas que proporciona la institución,felicitación,0.5555427421999442,Innovación Educativa,setfit
Mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento.,mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento,sugerencia,0.5185889398145737,Subdirección Académica,keywords
Buena actitud y disponibilidad todas las veces que he ido.,buena actitud y disponibilidad todas las veces que he ido,felicitación,0.5669724496815404,Unidad de Informática,setfit
"Buena actitud, siempre tienen buena actitud ",buena actitud siempre tienen buena actitud,felicitación,0.6047800191994641,Evaluación y Seguimiento Académico,setfit
Hay problemas de horario al momento de la reinscripción,hay problemas de horario al momento de la reinscripción,sugerencia,0.5496443622853971,Subdirección Académica,keywords
"No funciona nada bien el WiFi de las palapas de IA, urge lo reparen ya que se ocupa para hacer tareas, trabajos y demás en clases libres ademas que cuando estamos en clases en el edificio 4 no hay internet, no es posible que siendo una de las mejores escuelas de cómputo no tengamos acceso a internet es esa zona que es para trabajar.",no funciona nada bien el wifi de las palapas de ia urge lo reparen ya que se ocupa para hacer tareas trabajos y demás en clases libres ademas que cuando estamos en clases en el edificio 4 no hay internet no es posible que siendo una de las mejores escuelas de cómputo no tengamos acceso a internet es esa zona que es para trabajar,queja,0.5822997162125726,Unidad de Informática,keywords
Finalizó el semestre y no habían realizado la dispersión de fondos ,finalizó el semestre y no habían realizado la dispersión de fondos,sugerencia,0.5830780195809327,Recursos Financieros,setfit
"Queja sobre las cafeterías que no ofrecen buenos productos ni alimentos, por lo que muchos optan por comida fuera más costosa, me gustaría que se pudiera armar como en otras escuelas un comedor comunitario? No sé si sea el nombre pero para que tengan buena comida y a precio accesible únicamente para estudiantes o que se de un descuento por estudiante ",queja sobre las cafeterías que no ofrecen buenos productos ni alimentos por lo que muchos optan por comida fuera más costosa me gustaría que se pudiera armar como en otras escuelas un comedor comunitario no sé si sea el nombre pero para que tengan buena comida y a precio accesible únicamente para estudiantes o que se de un descuento por estudiante,queja,0.5713574066435202,Subdirección Administrativa,keywords
"Siento que sería buena idea que dejaran inscribir materias del semestre en el que estás, es dexir aunque estes cursando materias dejaran 5to te dejaran meter de 8vo si ese es tu semestre (pero solo cuando sea una materia del semestre más bajo) ",siento que sería buena idea que dejaran inscribir materias del semestre en el que estás es dexir aunque estes cursando materias dejaran 5to te dejaran meter de 8vo si ese es tu semestre pero solo cuando sea una materia del semestre más bajo,sugerencia,0.5895873007010864,Subdirección Académica,keywords
"Muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8, porque se acaban muy rapido los pocos lugares, más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos.

También siempre que nos reinscribimos aparecen varios profesor como ""sin asignar"" al momento de hacer nuestro horario.",muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8 porque se acaban muy rapido los pocos lugares más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos también siempre que nos reinscribimos aparecen varios profesor como sin asignar al momento de hacer nuestro horario,sugerencia,0.4812900484389009,Subdirección Académica,keywords
Dispersión de apoyo extraordinario despues del terminal el ciclo escolar,dispersión de apoyo extraordinario despues del terminal el ciclo escolar,sugerencia,0.5574329175082957,Tecnología Educativa y Campus Virtual,setfit
"Específicamente en el edificio de IA la red de internet es muy deficiente, muchas veces hemos tenido la necesidad de este y no nos es posible.",específicamente en el edificio de ia la red de internet es muy deficiente muchas veces hemos tenido la necesidad de este y no nos es posible,sugerencia,0.4729373148438789,Unidad de Informática,keywords
"El servicio de internet es intermitente, no es constante y en ocasiones no funciona como debería ",el servicio de internet es intermitente no es constante y en ocasiones no funciona como debería,sugerencia,0.4794860350011413,Unidad de Informática,keywords
"Pedí constancia de estudios y de inscripción, y no me deja bajarlas del Saes ",pedí constancia de estudios y de inscripción y no me deja bajarlas del saes,sugerencia,0.5332614596323989,Gestión Escolar,keywords
Facilitar la información sobre qué cubículos están asignados y a qué profesor pertenece cada cubículo,facilitar la información sobre qué cubículos están asignados y a qué profesor pertenece cada cubículo,sugerencia,0.4449954152547025,Subdirección Académica,keywords
Deberían de verificar el sistema de citas ya que tuve un problema con mi reinscripción y no perdí cupo en una materia ,deberían de verificar el sistema de citas ya que tuve un problema con mi reinscripción y no perdí cupo en una materia,queja,0.5162470568872437,Unidad de Informática,keywords
